"epidermis__standard_1h"	"epidermis__140mM_1h"	"epidermis__140mM_3h"	"epidermis__140mM_8h"	"epidermis__140mM_20h"	"epidermis__140mM_32h"	"epidermis__140mM_48h"	"cortex__standard_1h"	"cortex__140mM_1h"	"cortex__140mM_3h"	"cortex__140mM_8h"	"cortex__140mM_20h"	"cortex__140mM_32h"	"cortex__140mM_48h"	"endodermis__standard_1h"	"endodermis__140mM_1h"	"endodermis__140mM_3h"	"endodermis__140mM_8h"	"endodermis__140mM_20h"	"endodermis__140mM_32h"	"endodermis__140mM_48h"	"stele__standard_1h"	"stele__140mM_1h"	"stele__140mM_3h"	"stele__140mM_8h"	"stele__140mM_20h"	"stele__140mM_32h"	"stele__140mM_48h"	"Annotation"
"RPP5"	6.528465	6.779517	5.636612	5.343009	6.162527	5.611804	4.236656	6.561957	6.706249	6.674065	6.650954	6.964416	6.476932	6.709952	6.308995	5.20342	4.930127	2.823288	4.912855	5.714651	5.174906	7.130256	6.680238	6.383244	6.346465	6.741429	6.212287	6.195136	"Contains a putative nucleotide binding site and leucine-rich repeats. Similar to the plant resistance genes N and L6, and to the toll and interleukin-1 receptors. Confers resistance to Peronospora parasitica."
"AT.EXPR..ATEXLB1..ATEXPR1..ATHEXP..EXLB1..EXPR"	6.666909	5.507971	6.151271	4.367802	4.237445	4.571389	4.905295	6.620404	6.31101	6.86953	8.168021	8.094448	7.591689	7.215311	8.07463	7.472054	7.237646	8.083182	8.961971	7.877384	8.476267	7.743457	9.875479	10.190331	9.099163	9.3739	8.80837	9.876828	"Encodes EXLB1 (expansin-like B1), a member of the expansin family., Encodes EXLB1 (expansin-like B1), a member of the expansin family., Encodes EXLB1 (expansin-like B1), a member of the expansin family., Encodes EXLB1 (expansin-like B1), a member of the expansin family., Encodes EXLB1 (expansin-like B1), a member of the expansin family., Encodes EXLB1 (expansin-like B1), a member of the expansin family."
"PPDK..PPDK..PPDK"	9.004777	9.443359	10.257119	10.885797	10.660002	11.342863	10.823879	7.01249	8.315088	9.046415	9.654432	9.437758	9.575746	9.111577	6.207204	6.788397	7.640002	8.207317	8.162159	8.307454	7.945935	6.573397	8.682067	7.035133	7.914745	8.447484	8.219954	8.241073	"The product of this long transcript was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. They were also found in slightly different tissues., Encodes a dual-targeted protein believed to act as a pyruvate, orthophosphate dikinase. These enzymes are normally associated with C4 photosynthesis which does not occur in Arabidopsis. However, PPDK may play a role in remobilizing nitrogen during leaf senescence in Arabidopsis. The product of the long transcript (.1 gene model) was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. The two proteins were also found to be expressed in slightly different tissues., The product of this shorter transcript (no chloroplast targeting sequence) was shown to accumulate in the cytosol, whereas the longest transcript was found in the chloroplast. They were also found in slightly different tissues."
"ATCSLB05..ATCSLB5..CSLB05"	9.657827	9.373896	6.61946	5.731649	6.220413	7.518146	6.458205	10.727803	8.864948	10.40624	6.340934	7.194793	7.384358	7.624543	8.073999	7.218292	4.535687	5.816764	5.564656	6.082368	5.742431	11.658277	9.138117	7.429431	6.848797	8.21523	8.191952	7.902779	"encodes a gene similar to cellulose synthase, encodes a gene similar to cellulose synthase, encodes a gene similar to cellulose synthase"
"CYP702A2"	10.507588	9.311749	9.822632	10.898864	10.468763	11.644921	11.147713	7.537218	6.150045	8.233881	8.087491	8.532984	8.804797	7.668633	7.87684	3.76636	7.151217	7.029389	7.65418	7.468261	7.120059	7.051289	7.633897	5.60116	7.284577	7.956406	8.510613	7.576159	"a member of the cytochrome P450 gene family. molecular function unknown."
"CYP705A1"	6.618311	5.432393	4.522853	4.608894	5.294828	4.923751	5.368574	7.928973	6.832854	7.247488	6.808704	7.052989	6.500261	7.281549	10.158246	9.497364	8.300836	8.573761	9.987391	9.288912	9.633201	9.039038	9.284966	9.476221	7.725832	8.574645	8.564035	9.283149	"a member of the cytochrome P450 family"
"CYP705A2"	9.40889	9.009078	9.404471	10.095068	8.953625	9.877057	9.399049	6.178792	5.355842	7.507278	7.666236	7.381557	7.566714	6.800662	5.82081	4.215366	5.378963	5.645747	6.505992	5.947339	5.38163	5.86112	7.282064	4.951888	5.862701	6.655533	6.801729	6.357001	"member of CYP705A"
"CYP705A3"	5.419147	4.960863	4.704725	4.153754	4.241883	4.283036	4.631139	3.944174	4.223329	3.846967	3.640776	4.499462	4.531261	4.311374	4.992766	3.916585	4.9824	4.274765	4.6595	4.650063	4.8188	3.969993	3.90875	3.448674	4.459383	4.332057	4.845528	1.721132	"member of CYP705A"
"BARS1..PEN2"	6.539075	5.685142	5.101885	3.867175	5.424301	6.110343	6.561758	4.996485	4.846585	4.437308	4.595584	4.967517	5.074983	5.895733	4.855265	5.25433	3.70696	3.758456	3.492963	5.104153	4.746387	5.43284	5.61082	4.173089	3.637149	5.224811	5.578583	5.840036	"Encodes an oxidosqualene cyclase that primarily produces the tetracyclic triterpene baruol in vitro and when expressed in yeast. It can also make 22 other minor triterpenoid products with varying numbers of rings., Encodes an oxidosqualene cyclase that primarily produces the tetracyclic triterpene baruol in vitro and when expressed in yeast. It can also make 22 other minor triterpenoid products with varying numbers of rings."
"CIPK4..SnRK3.3"	5.921707	4.621621	4.024145	4.945766	4.849092	5.211921	4.128416	8.115509	7.050301	7.757858	6.929359	7.102776	7.235572	7.156201	8.434116	7.519331	7.043987	7.121724	7.801496	7.107568	6.893471	8.387031	8.71928	8.343291	7.805597	7.940925	7.774406	8.13289	"CBL-interacting protein kinase, CBL-interacting protein kinase"
"GLP9"	5.996097	5.504547	6.671624	6.851447	6.914872	7.904289	8.464066	4.436976	2.002364	6.003043	5.299249	6.856557	6.333405	5.825803	3.530003	5.133962	5.789181	5.68672	6.133611	6.206584	5.357239	5.842037	5.702282	4.906741	6.126942	6.906119	6.797833	6.027673	"germin-like protein with N-terminal signal sequence that may target it to the vacuole, plasma membrane and/or outside the cell."
"ATECI3..ECI3..HCD1"	1.951374	4.064707	4.184084	5.150963	5.64647	5.016953	4.525709	3.951081	5.110249	6.446657	8.017301	4.902661	3.184589	5.203174	6.432917	8.52349	11.196389	11.333678	10.155148	7.160419	7.893989	4.11259	5.78014	8.218342	8.478654	6.075297	3.002859	5.387214	"encodes a cytosolic delta3, delta2-enoyl CoA isomerase, involved in unsaturated fatty acid degradation, encodes a cytosolic delta3, delta2-enoyl CoA isomerase, involved in unsaturated fatty acid degradation, encodes a cytosolic delta3, delta2-enoyl CoA isomerase, involved in unsaturated fatty acid degradation"
"FD.GOGAT..GLS1..GLU1..GLUS"	2.983985	4.00014	2.309103	1.680147	2.367109	3.269421	4.100197	6.101524	6.862285	6.658839	6.576089	5.979565	4.436313	4.596689	3.374661	4.275668	3.909508	3.585956	3.887699	2.48158	2.368171	2.861587	2.920265	4.684072	4.520282	2.623703	3.823323	3.833094	"Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation., Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation., Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation., Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation."
"NAMT1"	2.565436	1.13133	1.895797	1.657051	1.383583	1.423323	1.70718	4.030535	5.132162	1.520492	2.931068	2.175386	5.732884	6.628226	4.664883	4.473283	3.681348	3.048568	2.664893	3.671361	3.667123	2.139785	6.374645	3.346966	3.369436	1.537173	4.848601	4.995176	"A member of the Arabidopsis SABATH methyltransferase gene family.  Encodes NAMT1, a methyltransferase that methylates nicotinic acid."
"ATSUS6..SUS6"	3.59197	5.032443	3.731576	2.632349	2.535646	3.962574	5.100368	4.354271	6.026939	2.896354	2.18026	4.493323	4.020576	2.882857	5.526394	6.003468	2.396418	3.948056	4.908288	1.890121	2.730893	5.126621	6.087778	5.810347	6.160468	6.117295	5.675904	6.516305	"Encodes a protein with sucrose synthase activity (SUS6)., Encodes a protein with sucrose synthase activity (SUS6)."
"ATMYB54..MYB54"	3.8042531	0.3822558	1.8354273	4.0531614	2.697349	1.5831546	2.0702105	2.9079795	1.0953441	3.2070325	2.8885967	2.7660097	0.9039242	2.8141109	3.6309395	1.7009243	3.6712845	5.1899747	5.8454467	2.1986179	2.0035209	2.5749286	5.7043243	5.5194492	6.2160973	5.3696741	5.3515236	4.8808272	"Encodes a putative transcription factor that is a member of the  R2R3-MYB  family., Encodes a putative transcription factor that is a member of the  R2R3-MYB  family."
"ATDR4..DR4"	6.565509	5.299943	5.016431	3.990985	5.428962	6.215151	6.371554	8.911185	8.585172	7.910087	6.469548	9.48153	10.173299	11.741442	6.908637	5.942888	6.151477	4.830718	6.020997	6.264571	6.455232	9.131541	8.475469	6.60137	6.03877	7.434815	8.758491	10.075831	"encodes a plant-specific protease inhibitor-like protein whose transcript level in root disappears in response to progressive drought stress. The decrease in transcript level is independent from abscisic acid level., encodes a plant-specific protease inhibitor-like protein whose transcript level in root disappears in response to progressive drought stress. The decrease in transcript level is independent from abscisic acid level."
"ATPRR1..PRR1"	9.096087	8.339419	7.998018	7.526151	7.339468	7.541827	7.81322	11.849902	11.761285	11.468698	11.463459	11.032934	10.987724	11.028319	13.248312	13.838554	13.641787	13.916669	13.793563	12.979596	12.866431	12.307454	13.290745	13.264266	13.554103	12.851961	13.261709	13.317527	"Encodes a pinoresinol reductase involved in lignan biosynthesis. Expressed strongly in roots and less strongly in stems. Shows specificity for pinoresinol and not lariciresinol., Encodes a pinoresinol reductase involved in lignan biosynthesis. Expressed strongly in roots and less strongly in stems. Shows specificity for pinoresinol and not lariciresinol."
"AT.HSFB4..HSFB4..SCZ"	4.593742	2.879993	5.05805	3.37264	2.845695	2.824196	4.156945	5.157912	5.480114	6.399942	6.354667	6.847185	6.901859	6.517138	6.191202	5.371519	7.121419	7.542802	7.437616	7.110837	7.390728	5.57879	5.622934	6.597348	6.417402	6.253617	6.489881	6.770006	"Encodes SCHIZORIZA, a member of Heat Shock Transcription Factor (Hsf) family. Functions as a nuclear factor regulating asymmetry of stem cell divisions., Encodes SCHIZORIZA, a member of Heat Shock Transcription Factor (Hsf) family. Functions as a nuclear factor regulating asymmetry of stem cell divisions., Encodes SCHIZORIZA, a member of Heat Shock Transcription Factor (Hsf) family. Functions as a nuclear factor regulating asymmetry of stem cell divisions."
"RAP2.1"	3.687596	3.793607	2.917792	4.26444	4.573799	3.445507	3.974344	6.299025	7.075713	5.848129	6.12515	5.918758	5.180007	6.023825	5.210532	4.76843	5.23478	5.186521	4.203442	4.589767	5.453281	5.233032	6.559887	6.333552	5.53286	5.620537	4.140816	5.386156	"encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family (RAP2.1). The protein contains one AP2 domain. There are 16 members in this subfamily including RAP2.9 and RAP2.10."
"BUB3.2"	4.744129	6.421665	6.670628	6.912946	6.931216	7.644999	7.359022	4.135356	5.377583	5.626736	4.612354	6.115265	6.479563	5.54253	3.582085	3.675662	4.610657	6.15307	6.218404	5.892363	6.50313	4.295213	6.055635	6.439502	5.742457	4.666382	6.294542	6.311096	"Encodes a homolog of the yeast and human BUB3 (BUDDING UNINHIBITED BY BENZYMIDAZOL 3) protein.  Yeast and human BUB3s function in spindle assembly checkpoint control."
"AGL10..CAL..CAL1"	4.980059	4.336965	3.79169	5.03465	4.895066	5.185678	4.056123	3.872543	4.834389	3.875792	4.201339	4.577288	2.745336	4.512835	3.837053	5.453995	4.403084	4.331334	4.692574	3.621978	4.149583	4.187222	4.426952	2.918535	4.151726	5.042224	4.667497	1.655628	"Floral homeotic gene encoding a MADS domain protein homologous to AP1. Enhances the flower to shoot transformation in ap1 mutants., Floral homeotic gene encoding a MADS domain protein homologous to AP1. Enhances the flower to shoot transformation in ap1 mutants., Floral homeotic gene encoding a MADS domain protein homologous to AP1. Enhances the flower to shoot transformation in ap1 mutants."
"AtMYB64..MYB64..URP10"	6.09905	5.947932	5.154565	5.150144	2.837565	5.101514	3.338925	5.584295	5.012781	4.898812	5.0598	5.171477	4.966231	4.323439	5.324537	5.49644	5.800501	4.746134	3.35443	3.377343	1.590733	5.216789	5.078832	4.49108	4.426213	3.898662	4.272116	4.548548	"Member of R2R3-MYB transcription factor gene family., Member of R2R3-MYB transcription factor gene family., Member of R2R3-MYB transcription factor gene family."
"DIC3"	5.331543	5.220229	3.364156	4.747101	5.191092	1.931146	3.472651	5.880044	6.098013	5.411152	5.078427	4.988858	4.474227	4.733714	5.913248	6.273086	6.249159	6.463177	5.06315	6.399479	6.254215	5.039648	5.561172	5.346205	4.043245	5.349619	4.632098	4.918343	"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470)."
"AAP2"	6.565265	6.81268	7.268924	6.282018	5.612214	5.514686	5.756311	8.412501	8.52561	8.466722	8.064445	7.9295	7.863349	7.908908	9.851921	8.458462	9.262975	8.598657	8.587486	8.009406	7.861662	8.639807	10.146556	10.317643	9.844765	9.007454	8.899506	9.236839	"member of AAAP family"
"LAC14"	2.058352	3.142152	4.700887	3.999906	4.448685	4.225369	3.791801	1.84885	2.600281	3.034231	3.673849	4.787201	4.036636	2.563806	4.90112	5.280005	3.233473	4.495123	3.787579	4.157328	3.364509	4.903594	3.001481	3.603924	3.521311	3.447725	3.700299	3.89929	"putative laccase, a member of laccase family of genes (17 members in Arabidopsis)."
"ATROPGEF10..GEF10..ROPGEF10"	7.167255	6.657124	3.830649	5.113368	4.687136	4.538481	3.988841	6.157087	5.007642	5.25136	5.791644	6.108832	3.417844	4.543433	4.955046	4.528021	2.426145	2.95503	3.509513	3.800774	1.508635	7.386786	6.182413	4.020283	5.397458	7.16207	5.63243	3.724088	"Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily., Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily., Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily."
"ACL5"	3.4777121	1.586461	1.2966036	0.8371819	2.7459188	1.62902	1.1164432	2.2265213	2.0944491	0.9612328	0.756952	1.8313531	3.6335308	2.3446632	3.116407	1.1140674	1.8763633	1.2983665	1.3604778	1.6286207	1.6519887	6.9093664	3.759063	3.4565978	2.2295594	2.2772686	3.9616713	4.0959109	"Encodes a spermine synthase.  Required for internode elongation and vascular development, specifically in the mechanism that defines the boundaries between veins and nonvein regions.   This mechanism may be mediated by polar auxin transport.  Though ACL5 has been shown to function as a spermine  synthase in E. coli, an ACL5 knockout has no effect on the endogenous levels of free and conjugated polyamines in Arabidopsis, suggesting that ACL5 may have a very specific or altogether different in vivo function."
"RAP2.11"	8.391366	7.370099	5.995592	6.424063	6.849326	6.168778	5.413612	7.997102	5.243373	7.289584	7.257719	7.627825	6.781909	6.491154	8.204556	5.654617	3.807459	4.056995	5.817015	4.505655	2.696001	9.583024	7.680903	6.456624	6.565252	8.70115	7.791626	6.708934	"encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family (RAP2.11). The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11."
"ATGER3..GER3..GLP3..GLP3A..GLP3B"	4.985263	4.93048	5.050879	4.709746	2.451854	3.910212	3.951636	6.442885	5.389427	5.607844	4.578041	4.993739	4.321866	5.566609	5.33159	4.786022	4.366196	4.479999	5.030524	4.596776	4.557297	4.553158	4.893579	4.651132	4.843013	4.128613	4.07714	4.38989	"Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation., Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation., Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation., Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation., Encodes a germin-like protein. Its transcripts are more abundant in RNA from leaves collected in the evening, suggesting some kind of circadian regulation."
