"brain__DBA.2J"	"colon__DBA.2J"	"kidney__DBA.2J"	"liver__DBA.2J"	"lung__DBA.2J"	"brain__C57BL.6"	"colon__C57BL.6"	"kidney__C57BL.6"	"liver__C57BL.6"	"lung__C57BL.6"	"brain__CD1"	"colon__CD1"	"kidney__CD1"	"liver__CD1"	"lung__CD1"	"metadata"
"Itgb4"	598	3540	142	23	442	297	3989	206	50	235	296	3603	314	38	595	"integrin beta 4"
"Camkk1"	2287	135	29	18	388	2815	240	41	23	481	3149	242	26	15	663	"calcium/calmodulin-dependent protein kinase kinase 1, alpha"
"P2rx1"	5	408	50	4	50	7	781	98	5	56	18	869	118	23	152	"purinergic receptor P2X, ligand-gated ion channel, 1"
"Tekt1"	31	0	1	0	323	69	3	1	1	312	26	0	32	3	174	"tektin 1"
"Coro6"	1207	5	143	5	150	1560	11	128	7	192	1485	13	132	6	385	"coronin 6"
"Slc6a4"	478	2471	139	38	188	1	1837	109	18	201	2	2002	120	15	238	"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4"
"Tmigd1"	1	136	8114	6	9	0	100	7684	7	5	0	27	6862	9	7	"transmembrane and immunoglobulin domain containing 1"
"Doc2b"	849	21	32	5	15	1074	34	21	8	19	976	42	22	0	58	"double C2, beta"
"Cacna1g"	1795	109	69	1	17	2731	86	57	9	13	2601	77	81	0	32	"calcium channel, voltage-dependent, T type, alpha 1G subunit"
"Asgr1"	26	2	2	22416	78	20	2	0	21127	130	31	6	0	13168	39	"asialoglycoprotein receptor 1"
"Dlg4"	9701	109	110	34	488	11056	199	158	65	386	11251	127	134	44	423	"discs large MAGUK scaffold protein 4"
"Aloxe3"	157	9	2	0	36	245	5	2	1	18	251	13	2	9	32	"arachidonate lipoxygenase 3"
"Aurkb"	6	514	15	10	31	9	336	18	12	33	9	477	35	17	54	"aurora kinase B"
"Krt19"	4	32417	75	73	4199	1	34985	141	77	3041	3	39490	239	67	4523	"keratin 19"
"Top2a"	40	4188	115	34	265	54	3027	89	52	308	47	3761	172	96	238	"topoisomerase (DNA) II alpha"
"Coch"	427	4	49	4	8	740	23	66	1	10	487	52	39	0	13	"cochlin"
"Cdkl1"	454	15	2123	18	77	309	15	2195	16	85	426	21	1806	0	26	"cyclin-dependent kinase-like 1 (CDC2-related kinase)"
"Sptb"	4983	90	230	50	128	3651	60	221	88	107	4833	63	203	70	248	"spectrin beta, erythrocytic"
"Rab15"	3538	460	100	0	948	4607	462	152	4	506	5073	446	174	0	472	"RAB15, member RAS oncogene family"
"Atl1"	3209	25	76	76	100	3231	25	58	75	60	3117	33	43	67	73	"atlastin GTPase 1"
"Pygl"	97	188	471	19374	951	119	311	802	20173	936	60	258	572	13632	1607	"liver glycogen phosphorylase"
"Rtn1"	18367	108	30	19	107	15901	197	118	62	152	20196	258	97	49	409	"reticulon 1"
"Serpina3n"	963	64	13	23922	998	453	143	36	16868	1006	1047	306	39	24099	902	"serine (or cysteine) peptidase inhibitor, clade A, member 3N"
"Plek2"	10	1064	127	41	26	9	541	71	23	23	5	652	87	23	17	"pleckstrin 2"
"Arg2"	109	16629	136	22	136	44	10149	80	5	70	55	12181	193	6	72	"arginase type II"
"Galnt16"	3335	20	4	0	100	2889	42	20	0	46	3405	52	4	0	104	"polypeptide N-acetylgalactosaminyltransferase 16"
"Smoc1"	365	161	86	3672	175	422	239	109	4651	87	252	246	63	5192	140	"SPARC related modular calcium binding 1"
"Unc79"	1854	16	1	12	179	2092	34	2	7	150	2138	31	12	6	107	"unc-79 homolog"
"Asb2"	33	510	26	95	84	32	960	63	104	69	38	1094	67	73	159	"ankyrin repeat and SOCS box-containing 2"
"Acot3"	52	5	455	6	1	51	0	324	28	0	49	0	215	73	0	"acyl-CoA thioesterase 3"
"Esrrb"	130	16	577	17	1	49	20	615	31	0	37	23	763	12	3	"estrogen related receptor, beta"
"Hhipl1"	598	10	37	28	44	324	20	11	48	28	264	19	14	55	16	"hedgehog interacting protein-like 1"
"Meg3"	103828	230	18	415	182	169535	712	70	632	170	160505	671	18	542	530	"maternally expressed 3"
"Exoc3l4"	39	4959	146	18	176	28	6017	191	26	135	18	3788	185	17	222	"exocyst complex component 3-like 4"
"Gng4"	1083	35	22	1	14	925	45	56	0	27	966	35	45	3	25	"guanine nucleotide binding protein (G protein), gamma 4"
"Gpr137b"	110	20	1211	2	215	97	29	1826	17	292	69	46	885	9	238	"G protein-coupled receptor 137B"
"Ryr2"	6277	117	402	1	140	6123	66	35	0	349	5933	60	45	0	339	"ryanodine receptor 2, cardiac"
"Amph"	5035	37	11	0	460	5634	32	19	0	400	5237	52	12	0	560	"amphiphysin"
"Aoah"	4	20	1778	13	31	3	74	2056	38	22	2	58	1489	12	26	"acyloxyacyl hydrolase"
"Slc17a1"	0	21	15953	375	0	0	46	15976	234	0	2	19	11249	255	0	"solute carrier family 17 (sodium phosphate), member 1"
"Gpld1"	1006	357	143	8958	182	703	177	104	12118	92	727	223	65	11045	104	"glycosylphosphatidylinositol specific phospholipase D1"
"Elovl2"	451	10	1656	25685	2	279	5	816	18624	1	327	4	840	28372	3	"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2"
"Edn1"	41	29	34	8	1012	20	45	42	16	766	2	40	32	3	1311	"endothelin 1"
"Cap2"	3867	281	10	1	139	4659	260	32	2	153	4761	344	32	9	179	"CAP, adenylate cyclase-associated protein, 2 (yeast)"
"Susd3"	16	36	1425	2	68	19	51	1004	7	88	17	98	1990	9	59	"sushi domain containing 3"
"Ogn"	317	391	521	56	8308	157	328	701	35	5856	124	290	260	44	6060	"osteoglycin"
"Eci3"	5	297	3574	50	10	2	1800	5019	0	3	5	279	2664	99	8	"enoyl-Coenzyme A delta isomerase 3"
"Fbp2"	5	7874	253	5	474	1	9816	343	5	8	0	6605	454	0	6	"fructose bisphosphatase 2"
"Adcy2"	3886	27	8	0	495	3415	34	18	4	418	3910	29	6	9	657	"adenylate cyclase 2"
"Tppp"	15345	281	118	758	956	16542	265	132	516	780	15542	169	140	513	1143	"tubulin polymerization promoting protein"
"Srd5a1"	201	418	539	5638	30	238	378	768	5687	34	104	429	710	5203	25	"steroid 5 alpha-reductase 1"
"Lpcat1"	937	230	244	91	7950	960	301	261	81	9800	923	304	246	104	6730	"lysophosphatidylcholine acyltransferase 1"
"Hapln1"	774	3	149	4	11	425	2	43	19	18	536	6	114	35	8	"hyaluronan and proteoglycan link protein 1"
"Depdc1b"	11	88	605	1	24	11	65	553	2	15	3	129	321	3	12	"DEP domain containing 1B"
"Rab3c"	11255	269	1	0	37	12760	176	1	0	47	11800	200	2	3	199	"RAB3C, member RAS oncogene family"
"Thbs4"	187	33	8	0	7	264	28	23	0	4	226	46	26	0	4	"thrombospondin 4"
"Rgs7bp"	8573	141	28	51	121	8624	157	40	33	47	8469	196	10	38	98	"regulator of G-protein signalling 7 binding protein"
"Hcn1"	2859	37	0	0	25	1901	23	0	0	19	2570	6	0	0	107	"hyperpolarization activated cyclic nucleotide gated potassium channel 1"
"Fam3d"	0	4576	20	1	56	2	5433	20	0	47	2	2436	32	0	29	"FAM3 metabolism regulating signaling molecule D"
"Cspg4b"	84	18	1684	5	402	102	12	976	8	218	53	8	1108	0	257	"chondroitin sulfate proteoglycan 4B"
"Sftpa1"	0	0	0	159	62901	0	5	0	65	80247	0	0	0	75	23763	"surfactant associated protein A1"
"Sftpd"	0	0	1	85	8401	0	0	2	61	15112	0	2	2	70	5881	"surfactant associated protein D"
"Ldb3"	175	2081	48	1	135	203	1561	33	4	187	194	1129	26	6	322	"LIM domain binding 3"
"Plau"	66	296	15394	27	207	67	318	12807	88	298	89	156	14057	52	165	"plasminogen activator, urokinase"
"Rnase4"	163	951	1656	60068	7116	248	1261	214	35318	7773	212	1802	1441	32087	5322	"ribonuclease, RNase A family 4"
"Dnah12"	33	15	37	4	724	40	15	24	3	519	20	4	20	6	264	"dynein, axonemal, heavy chain 12"
"Hacl1"	21	61	128	2086	38	14	51	125	1326	43	26	98	156	1265	20	"2-hydroxyacyl-CoA lyase 1"
"Sema3g"	90	65	1713	15	4024	43	88	1378	18	4251	61	225	1268	12	6364	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G"
"Ogdhl"	3195	47	40	2	8	2343	103	183	6	6	2674	65	144	0	21	"oxoglutarate dehydrogenase-like"
"Itih4"	4	4	3	67606	2649	4	205	5	72606	1530	2	254	2	97230	2159	"inter alpha-trypsin inhibitor, heavy chain 4"
"Gata4"	0	3966	0	551	13	0	2959	1	576	24	0	2665	2	568	28	"GATA binding protein 4"
"Atp8a2"	2563	469	38	5	22	2051	354	35	5	31	1621	258	35	15	20	"ATPase, aminophospholipid transporter-like, class I, type 8A, member 2"
"Amer2"	2467	11	3	69	10	2365	23	5	13	6	2648	50	2	6	8	"APC membrane recruitment 2"
"Enox1"	554	14	34	1	14	684	31	21	1	14	790	27	75	0	20	"ecto-NOX disulfide-thiol exchanger 1"
"Rgcc"	110	53	170	1	1009	112	46	164	1	1059	217	131	229	0	1831	"regulator of cell cycle"
"Olfm4"	58	17739	858	2	9	55	11683	732	1	3	67	11892	789	3	8	"olfactomedin 4"
"Pbk"	11	490	22	5	22	13	387	24	12	41	3	385	51	6	29	"PDZ binding kinase"
"Adamdec1"	0	3576	2	38	144	0	4534	3	57	184	0	2728	2	73	23	"ADAM-like, decysin 1"
"Scel"	45	7	178	0	1487	47	3	230	1	955	37	13	146	0	1615	"sciellin"
"Cldn10"	706	5	5174	1	426	336	60	3897	1	488	391	119	3879	0	285	"claudin 10"
"Dab2"	341	195	16050	760	1548	227	239	14435	492	1020	157	329	11350	780	1445	"disabled 2, mitogen-responsive phosphoprotein"
"Rem2"	102	7	9	1	33	134	6	3	0	43	159	8	2	0	17	"rad and gem related GTP binding protein 2"
"C6"	1	184	9	19454	1158	0	294	15	16189	785	0	169	8	24079	946	"complement component 6"
"Slc22a17"	7695	66	629	35	258	7197	165	530	40	231	9851	179	550	58	342	"solute carrier family 22 (organic cation transporter), member 17"
"Carmil3"	919	26	29	6	15	1535	40	54	10	34	1638	63	69	15	50	"capping protein regulator and myosin 1 linker 3"
"Tgm1"	3	22	2751	646	82	6	22	1124	517	38	9	42	3555	867	89	"transglutaminase 1, K polypeptide"
"Ripk3"	5	889	29	29	149	3	809	28	67	189	0	842	30	41	191	"receptor-interacting serine-threonine kinase 3"
"Ctnnd2"	5154	44	6	1	213	4619	26	7	7	162	5822	63	26	17	365	"catenin (cadherin associated protein), delta 2"
"Dnah5"	179	3	79	5	1244	221	8	27	12	1043	180	6	8	12	467	"dynein, axonemal, heavy chain 5"
"Dpys"	8	1	4	13126	2	12	0	327	9994	1	9	0	213	7616	0	"dihydropyrimidinase"
"Zfpm2"	809	14	28	29	81	491	6	21	24	89	552	8	20	20	109	"zinc finger protein, multitype 2"
"Angpt1"	219	18	332	22	2104	151	35	340	17	1484	131	35	256	17	1618	"angiopoietin 1"
"Sybu"	1904	62	24	5	145	2051	63	33	3	108	2410	48	20	0	135	"syntabulin (syntaxin-interacting)"
"Syngr1"	10256	85	422	66	200	11319	97	531	14	184	13911	246	562	12	379	"synaptogyrin 1"
"Nptxr"	10112	20	32	12	65	18319	52	83	10	115	18933	56	51	15	142	"neuronal pentraxin receptor"
"Adamts20"	393	3	5	0	70	455	3	5	1	13	516	4	4	0	47	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20"
"Nell2"	9828	40	131	0	1	11653	25	8	0	0	13500	38	225	9	0	"NEL-like 2"
"Septin3"	11245	18	15	15	151	9787	15	20	1	46	13036	35	28	6	90	"septin 3"
"Slc38a4"	36	23	97	60045	468	23	12	87	67453	237	40	29	146	66387	232	"solute carrier family 38, member 4"
"Pde1b"	3164	230	66	16	304	4989	256	99	72	204	3197	350	57	58	211	"phosphodiesterase 1B, Ca2+-calmodulin dependent"
"Emp2"	584	232	384	436	31870	409	256	461	348	28268	408	252	308	290	34612	"epithelial membrane protein 2"
"Cldn1"	99	17	373	3629	236	78	14	321	2096	187	86	29	578	1352	261	"claudin 1"
"Il1rap"	1533	184	283	8521	622	1096	109	201	5603	388	1056	90	239	7097	428	"interleukin 1 receptor accessory protein"
"Fgf12"	4788	9	11	6	21	3614	6	32	9	29	4123	15	34	17	50	"fibroblast growth factor 12"
"Plaat1"	617	8	22	0	7	484	6	44	0	0	570	6	51	0	8	"phospholipase A and acyltransferase 1"
"Apod"	3785	7	6	1	229	2442	20	15	0	75	1410	54	14	3	171	"apolipoprotein D"
"Dgat1"	491	18538	628	974	475	619	24742	772	1093	468	561	15834	682	980	449	"diacylglycerol O-acyltransferase 1"
"Gsdmd"	37	8716	104	1258	900	52	10706	156	1554	1100	64	7695	150	1842	989	"gasdermin D"
"Lynx1"	9439	138	519	16	754	7387	197	481	42	549	9087	265	582	29	682	"Ly6/neurotoxin 1"
"Lypd2"	7	0	103	0	1183	6	0	96	0	589	6	0	37	0	275	"Ly6/Plaur domain containing 2"
"Arc"	2839	10	77	2	36	2239	23	60	5	9	1591	17	95	0	15	"activity regulated cytoskeletal-associated protein"
"Mapk8ip2"	7721	36	8	0	2	6636	37	5	0	0	7666	54	14	0	5	"mitogen-activated protein kinase 8 interacting protein 2"
"Retnlg"	1	42	5	6	257	2	54	3	3	388	0	29	0	0	157	"resistin like gamma"
"Cd96"	3	224	2	2	90	1	281	2	9	68	3	215	4	3	50	"CD96 antigen"
"Mpv17l"	1522	87	39841	1668	347	1603	55	17332	1226	375	1652	104	27351	1839	227	"Mpv17 transgene, kidney disease mutant-like"
"Sidt1"	1272	147	13	5	265	1505	166	10	9	235	2271	115	12	12	150	"SID1 transmembrane family, member 1"
"Ncam2"	2938	10	61	41	18	2516	5	27	86	4	2118	8	28	119	5	"neural cell adhesion molecule 2"
"Serpind1"	179	3	28	28972	41	82	11	23	29352	75	78	19	28	25088	29	"serine (or cysteine) peptidase inhibitor, clade D, member 1"
"Ccdc116"	63	490	12	2	23	57	456	7	2	6	83	429	26	20	16	"coiled-coil domain containing 116"
"Cfap91"	29	8	9	0	258	70	12	3	0	280	47	8	14	3	160	"cilia and flagella associated protein 91"
"Stxbp5l"	1452	9	172	2	0	820	3	80	3	0	539	2	61	3	0	"syntaxin binding protein 5-like"
"Adcy5"	2709	352	123	61	381	4265	296	222	94	363	2912	473	128	26	407	"adenylate cyclase 5"
"Dgkg"	1588	58	200	1	100	1850	57	219	5	87	2689	67	128	3	79	"diacylglycerol kinase, gamma"
"Fetub"	4	3	8	19505	110	2	32	21	20866	70	0	25	16	17521	84	"fetuin beta"
"Hrg"	0	1	220	38089	0	0	2	157	43279	0	0	0	75	34503	0	"histidine-rich glycoprotein"
"Masp1"	341	20	80	10445	72	232	14	68	10499	54	225	15	89	13539	314	"mannan-binding lectin serine peptidase 1"
"Ripply3"	1	21	83	47	640	1	43	80	45	1154	0	40	110	26	746	"ripply transcriptional repressor 3"
"Synj1"	11728	916	915	413	1146	8471	774	759	568	1133	11757	483	595	696	1102	"synaptojanin 1"
"Faim2"	13965	29	3	2	467	11363	37	8	0	286	11650	42	12	3	795	"Fas apoptotic inhibitory molecule 2"
"Asic1"	1511	173	91	73	54	1586	185	137	64	78	1501	156	91	20	87	"acid-sensing (proton-gated) ion channel 1"
"Slc4a8"	3912	76	229	21	282	3121	103	188	34	213	3710	181	231	6	262	"solute carrier family 4 (anion exchanger), member 8"
"Soat2"	1	3477	4	1512	19	6	6919	8	1716	17	8	3128	8	1415	27	"sterol O-acyltransferase 2"
"Igfbp6"	238	29	12	16	1725	344	176	29	36	1591	472	219	34	20	2827	"insulin-like growth factor binding protein 6"
"Map3k12"	2264	145	146	96	253	2794	133	210	62	345	3004	152	213	93	355	"mitogen-activated protein kinase kinase kinase 12"
"Fabp2"	0	85240	1	2301	3	0	153476	0	1578	3	0	70109	2	1958	12	"fatty acid binding protein 2, intestinal"
"Cdkn1a"	157	2949	259	33	570	194	4473	102	57	669	191	3388	164	32	601	"cyclin-dependent kinase inhibitor 1A (P21)"
"Rgn"	9	376	101	57058	14	3	180	124	34653	19	5	321	89	36713	9	"regucalcin"
"Lrrc71"	19	14	12	8	470	36	6	12	7	468	32	6	26	3	292	"leucine rich repeat containing 71"
"Gzma"	0	3309	18	32	526	0	6086	11	16	947	0	2315	6	6	400	"granzyme A"
"Cpn2"	0	87	9	15943	19	0	20	20	21185	8	0	8	32	20633	19	"carboxypeptidase N, polypeptide 2"
"Serping1"	169	1300	1071	41754	10973	99	1988	2211	32701	4589	112	2767	1086	41255	9111	"serine (or cysteine) peptidase inhibitor, clade G, member 1"
"Ccl25"	237	11946	190	216	121	283	18162	201	263	73	219	12214	162	339	75	"chemokine (C-C motif) ligand 25"
"Scg5"	11073	122	189	1	36	4212	66	118	1	13	9784	254	53	6	20	"secretogranin V"
"Slc26a6"	140	18027	348	174	121	197	14315	312	158	96	199	9664	432	125	170	"solute carrier family 26, member 6"
"Ache"	1838	46	69	6	18	1036	122	92	17	6	1514	106	79	38	46	"acetylcholinesterase"
"Cdca3"	16	1009	67	70	65	10	1204	54	94	79	18	942	89	55	48	"cell division cycle associated 3"
"Slc25a27"	1156	54	73	24	203	1310	80	68	41	194	1250	63	22	20	181	"solute carrier family 25, member 27"
"Mep1a"	0	796	47462	0	0	0	2961	49542	0	1	0	1244	47929	0	1	"meprin 1 alpha"
"Tcte1"	35	1	0	0	152	43	0	0	0	99	61	0	22	0	196	"t-complex-associated testis expressed 1"
"Cpne5"	1010	18	6	0	131	1531	23	6	0	121	1019	77	32	0	111	"copine V"
"Glo1"	4065	4572	2908	41533	2166	1472	2406	1930	13039	1243	1957	2473	2372	13716	1367	"glyoxalase 1"
"Glp1r"	213	204	19	7	2719	47	225	45	6	3025	72	369	35	6	1846	"glucagon-like peptide 1 receptor"
"Tff2"	0	33	0	5	247	0	9883	1	5	89	0	7020	0	35	39	"trefoil factor 2 (spasmolytic protein 1)"
"Tff3"	0	9625	1	47	0	0	19611	1	41	0	0	10958	0	75	0	"trefoil factor 3, intestinal"
"Galnt14"	545	1	2553	25	0	566	3	1897	6	3	643	0	2264	6	0	"polypeptide N-acetylgalactosaminyltransferase 14"
"Nrxn1"	11125	25	2	146	63	10577	15	1	107	43	10447	31	4	67	31	"neurexin I"
"Epas1"	3534	3860	4273	3034	37002	1825	2219	4996	7066	28367	1724	2713	4535	5960	66080	"endothelial PAS domain protein 1"
"C3"	55	1346	298	261511	16162	14	3075	1031	401340	5936	11	6853	3009	379745	19942	"complement component 3"
"Tekt4"	14	3	0	0	239	17	0	1	0	159	31	6	35	0	141	"tektin 4"
"Spdef"	7	200	2	0	50	12	308	2	1	33	15	338	8	0	32	"SAM pointed domain containing ets transcription factor"
"Syt4"	6359	38	1	1	5	5163	34	0	0	0	5775	35	0	6	2	"synaptotagmin IV"
"Celf4"	8575	40	24	15	46	8811	57	11	8	43	10658	115	8	41	40	"CUGBP, Elav-like family member 4"
"Dtna"	4328	112	97	10	1102	3870	122	123	6	709	3929	113	114	23	1125	"dystrobrevin alpha"
"Mep1b"	1	21634	5089	19	0	0	27690	6846	7	0	0	11123	4914	3	0	"meprin 1 beta"
"C2"	42	132	227	3158	339	23	227	372	3024	136	17	202	440	3446	217	"complement component 2 (within H-2S)"
"Proc"	0	12	4778	25076	19	1	88	3937	24179	15	0	58	7292	20036	5	"protein C"
"Myo7b"	2	15043	2460	10	5	1	17677	2377	14	9	6	12298	3171	0	6	"myosin VIIB"
"Apom"	5	10	965	8281	5	6	12	1327	7889	3	21	29	958	4815	10	"apolipoprotein M"
"Atp6v1g2"	7439	55	97	52	77	6809	117	112	66	68	8548	73	73	58	91	"ATPase, H+ transporting, lysosomal V1 subunit G2"
"Ttc39c"	731	882	2399	23459	134	607	1188	1673	27088	134	701	858	2228	28195	130	"tetratricopeptide repeat domain 39C"
"Arap3"	153	352	832	460	5010	193	395	1030	635	4890	228	331	795	577	8357	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"
"Gabbr1"	17274	386	748	79	1063	15289	367	788	113	798	14411	525	497	220	1535	"gamma-aminobutyric acid (GABA) B receptor, 1"
"Ppp2r2b"	2877	18	56	1	148	2777	31	64	2	87	3096	27	61	3	66	"protein phosphatase 2, regulatory subunit B, beta"
"Gnal"	3282	64	29	24	70	3683	22	24	36	33	2142	35	26	46	54	"guanine nucleotide binding protein, alpha stimulating, olfactory type"
"Lox"	14	34	89	5	1204	7	25	126	17	874	5	33	55	3	840	"lysyl oxidase"
"Me2"	557	8204	144	104	686	490	10496	203	117	649	504	9422	128	261	693	"malic enzyme 2, NAD(+)-dependent, mitochondrial"
"Camk2a"	41469	58	21	5	94	62583	69	19	2	33	66190	73	16	32	101	"calcium/calmodulin-dependent protein kinase II alpha"
"Cndp2"	1030	9514	74201	1457	1692	1038	18660	41549	2188	1935	1010	8335	59269	1595	1809	"CNDP dipeptidase 2 (metallopeptidase M20 family)"
"Slc22a6"	130	0	47663	2	0	93	0	30334	1	0	73	0	39101	0	0	"solute carrier family 22 (organic anion transporter), member 6"
"Anxa1"	60	205	245	153	4648	38	305	343	105	5303	20	267	177	87	3601	"annexin A1"
"Trpm6"	31	12	159	18	1298	38	20	215	0	1064	5	8	146	84	752	"transient receptor potential cation channel, subfamily M, member 6"
"Ms4a8a"	0	3707	1	18	142	0	6074	1	15	177	3	3301	0	12	80	"membrane-spanning 4-domains, subfamily A, member 8A"
"Tmem132a"	1518	72	87	23	197	2017	96	71	56	113	2598	148	217	41	308	"transmembrane protein 132A"
"Syt7"	7082	182	118	33	582	9533	299	211	77	439	10223	204	152	78	861	"synaptotagmin VII"
"Rcl1"	298	444	437	7843	268	249	498	433	6762	340	264	563	483	5865	311	"RNA terminal phosphate cyclase-like 1"
"Tm7sf2"	319	359	198	4233	145	405	435	250	6024	141	443	344	162	4864	152	"transmembrane 7 superfamily member 2"
"Ankrd1"	3	0	33	2	654	2	3	43	11	783	0	17	55	15	794	"ankyrin repeat domain 1 (cardiac muscle)"
"Cst6"	33	296	1	1	2	35	677	1	0	0	55	494	0	0	2	"cystatin E/M"
"Acy3"	33	1479	66219	2790	79	26	3039	55579	3306	124	28	1459	55812	2254	120	"aspartoacylase (aminoacylase) 3"
"Rin1"	711	113	50	8	110	1219	77	59	14	65	1834	98	57	12	124	"Ras and Rab interactor 1"
"Apba1"	5926	87	41	8	151	3845	100	75	23	117	4662	117	41	17	386	"amyloid beta (A4) precursor protein binding, family A, member 1"
"Papss2"	343	109857	7363	3084	616	268	40754	8326	8427	510	304	53240	9496	5226	996	"3'-phosphoadenosine 5'-phosphosulfate synthase 2"
"Ovol1"	1	1913	503	1	49	1	1324	348	2	42	3	1129	519	0	41	"ovo like zinc finger 1"
"Hhex"	49	99	61	7402	388	20	126	58	1609	465	35	158	34	2512	404	"hematopoietically expressed homeobox"
"Cep55"	9	339	19	1	37	11	153	12	5	19	6	248	20	12	42	"centrosomal protein 55"
"Rbp4"	183	48	6	123822	419	153	105	47	110324	273	235	56	41	82881	373	"retinol binding protein 4, plasma"
"Aldh18a1"	459	4438	60	22	284	453	4226	83	54	236	382	3342	69	29	288	"aldehyde dehydrogenase 18 family, member A1"
"Maoa"	1108	33163	221	373	1322	626	25160	251	197	1341	672	21731	181	133	1025	"monoamine oxidase A"
"Hspa12a"	7104	264	1038	70	590	7264	388	880	81	446	7028	185	814	75	458	"heat shock protein 12A"
"Slc18a2"	1092	110	57	117	73	128	80	78	63	91	154	90	34	78	51	"solute carrier family 18 (vesicular monoamine), member 2"
"Hdgfl3"	3787	148	175	32	531	2854	108	205	39	512	3265	192	130	46	386	"HDGF like 3"
"Gcgr"	2	16	507	9111	7	1	20	498	13366	8	0	31	647	8199	34	"glucagon receptor"
"Bhlhe22"	757	31	19	7	42	692	5	21	1	9	840	15	10	0	33	"basic helix-loop-helix family, member e22"
"Cbr2"	10	3	251	6	85430	11	22	79	3	58375	8	29	69	0	64393	"carbonyl reductase 2"
"Cd7"	8	762	8	24	133	10	1252	8	11	83	14	961	0	17	87	"CD7 antigen"
"Rab40b"	375	9	20	6	31	473	8	31	23	50	472	13	20	12	49	"Rab40B, member RAS oncogene family"
"Cnnm1"	2789	144	476	12	0	2576	80	453	7	0	2776	115	422	15	5	"cyclin M1"
"Entpd7"	338	4673	390	109	189	284	2549	518	169	115	376	2350	398	310	235	"ectonucleoside triphosphate diphosphohydrolase 7"
"Cpn1"	2	73	28	13600	102	12	290	1559	13021	83	5	477	77	15842	145	"carboxypeptidase N, polypeptide 1"
"Cyp2c23"	1	155	25	20617	8	6	119	479	17765	19	0	52	49	2541	16	"cytochrome P450, family 2, subfamily c, polypeptide 23"
"Kcnip2"	1520	156	17	1	17	2881	196	28	1	28	2281	258	26	6	40	"Kv channel-interacting protein 2"
"Slc6a20b"	9	118	5778	16	8	11	245	5987	5	4	11	94	5695	3	4	"solute carrier family 6 (neurotransmitter transporter), member 20B"
"Pfkfb1"	17	50	33	750	34	21	42	51	1110	46	24	29	24	1053	48	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"
"Tro"	4714	18	11	40	54	4836	22	14	35	32	4797	15	20	41	57	"trophinin"
"Car5a"	1	1	25	2069	0	0	0	37	2727	0	2	2	32	2172	1	"carbonic anhydrase 5a, mitochondrial"
"Mmp19"	18	38	11	2535	434	17	28	29	3046	213	17	42	35	2683	446	"matrix metallopeptidase 19"
"Aatk"	5661	88	94	117	421	6153	108	105	354	339	6604	248	166	145	1022	"apoptosis-associated tyrosine kinase"
"Hsd17b6"	0	2811	0	21224	0	0	2734	0	4933	0	0	2319	0	12831	0	"hydroxysteroid (17-beta) dehydrogenase 6"
"Myo1a"	18	30135	4	11	9	36	45440	5	4	8	38	30036	8	0	6	"myosin IA"
"Agap2"	10005	160	30	63	111	14784	199	35	104	96	17661	331	39	136	132	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
"Cyp2e1"	5	11	64509	311366	531	3	150	56675	331882	231	2	33	65708	295349	404	"cytochrome P450, family 2, subfamily e, polypeptide 1"
"Urah"	18	406	43	10068	88	7	418	50	6737	87	32	402	81	6134	62	"urate (5-hydroxyiso-) hydrolase"
"Phkg1"	499	8	41	10	44	575	8	59	8	56	579	8	49	9	77	"phosphorylase kinase gamma 1"
"Slc15a1"	7	8101	8	7	89	1	10108	10	0	42	0	4174	28	0	117	"solute carrier family 15 (oligopeptide transporter), member 1"
"Nptx1"	5539	51	3	6	679	6494	55	2	2	222	9009	71	28	41	44	"neuronal pentraxin 1"
